"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"提交成功，跳转到项目列表","536","提交成功，跳转到项目列表","cases","Tue Sep 09 23:34:29 CST 2025","passed","Tue Sep 09 23:34:30 CST 2025","TestAddProject","test_add_project","",""
"项目列表页搜索功能， 模拟搜索0个结果","126","项目列表页搜索功能， 模拟搜索0个结果","cases","Tue Sep 09 23:35:22 CST 2025","passed","Tue Sep 09 23:35:22 CST 2025","TestProjectList","test_project_list","",""
"项目列表页搜索功能， 模拟搜索一个结果","161","项目列表页搜索功能， 模拟搜索一个结果","cases","Tue Sep 09 23:35:23 CST 2025","passed","Tue Sep 09 23:35:23 CST 2025","TestProjectList","test_project_list","",""
"异常场景-项目名称，无效等价：特殊字符/大于30个字符","143","异常场景-项目名称，无效等价：特殊字符/大于30个字符","cases","Tue Sep 09 23:36:30 CST 2025","passed","Tue Sep 09 23:36:30 CST 2025","TestAddProject","test_add_project","",""
"新增环境：环境地址不能为空","582","新增环境：环境地址不能为空","cases","Tue Sep 09 23:34:42 CST 2025","passed","Tue Sep 09 23:34:42 CST 2025","TestEnvList","test_env_list","",""
"表格行内 链接","4065","表格行内 链接","cases","Tue Sep 09 23:35:26 CST 2025","passed","Tue Sep 09 23:35:30 CST 2025","TestProjectList","test_project_list","",""
"新增项目：项目名称重复，状态码400","690","新增项目：项目名称重复，状态码400","cases","Tue Sep 09 23:35:14 CST 2025","passed","Tue Sep 09 23:35:15 CST 2025","TestProjectList","test_project_list","",""
"登录正常流程， 获取异步ajax 响应","386","登录正常流程， 获取异步ajax 响应","cases","Tue Sep 09 23:35:07 CST 2025","passed","Tue Sep 09 23:35:07 CST 2025","TestLogin","test_login","",""
"密码框6-16位","69","密码框6-16位","cases","Tue Sep 09 23:36:28 CST 2025","passed","Tue Sep 09 23:36:28 CST 2025","TestRegister","test_register","",""
"项目列表刷新功能，点刷新按钮查询请求","78","项目列表刷新功能，点刷新按钮查询请求","cases","Tue Sep 09 23:35:25 CST 2025","passed","Tue Sep 09 23:35:25 CST 2025","TestProjectList","test_project_list","",""
"测试注册正常流程，注册成功","1039","测试注册正常流程，注册成功","cases","Tue Sep 09 23:36:02 CST 2025","passed","Tue Sep 09 23:36:03 CST 2025","TestRegister","test_register","",""
"添加模块-模块名称不能为空","156","添加模块-模块名称不能为空","cases","Tue Sep 09 23:34:04 CST 2025","passed","Tue Sep 09 23:34:05 CST 2025","TestAddModule","test_add_module","",""
"新增项目：模态框取消按钮","1057","新增项目：模态框取消按钮","cases","Tue Sep 09 23:35:12 CST 2025","passed","Tue Sep 09 23:35:13 CST 2025","TestProjectList","test_project_list","",""
"添加模块-模块名称添加成功","4435","添加模块-模块名称添加成功","cases","Tue Sep 09 23:34:21 CST 2025","passed","Tue Sep 09 23:34:25 CST 2025","TestAddModule","test_add_module","",""
"新增项目：服务器异常状态码500","592","新增项目：服务器异常状态码500","cases","Tue Sep 09 23:35:16 CST 2025","passed","Tue Sep 09 23:35:17 CST 2025","TestProjectList","test_project_list","",""
"用户名为空，点注册","124","用户名为空，点注册","cases","Tue Sep 09 23:35:51 CST 2025","passed","Tue Sep 09 23:35:51 CST 2025","TestRegister","test_register","",""
"表格行内删除 {""message"": ""无权限操作，请联系管理员""}","10203","表格行内删除 {""message"": ""无权限操作，请联系管理员""}","cases","Tue Sep 09 23:35:31 CST 2025","failed","Tue Sep 09 23:35:41 CST 2025","TestProjectList","test_project_list","",""
"用户名大于30字符","73","用户名大于30字符","cases","Tue Sep 09 23:34:55 CST 2025","passed","Tue Sep 09 23:34:56 CST 2025","TestLogin","test_login","",""
"服务器异常 500 状态码","203","服务器异常 500 状态码","cases","Tue Sep 09 23:34:33 CST 2025","passed","Tue Sep 09 23:34:33 CST 2025","TestAddProject","test_add_project","",""
"新增项目成功，跳转到列表页","1079","新增项目成功，跳转到列表页","cases","Tue Sep 09 23:35:18 CST 2025","passed","Tue Sep 09 23:35:19 CST 2025","TestProjectList","test_project_list","",""
"登录成功，断言url 和title","505","登录成功，断言url 和title","cases","Tue Sep 09 23:34:59 CST 2025","passed","Tue Sep 09 23:35:00 CST 2025","TestLogin","test_login","",""
"提交成功，判断新项目名称在列表","1340","提交成功，判断新项目名称在列表","cases","Tue Sep 09 23:34:34 CST 2025","passed","Tue Sep 09 23:34:35 CST 2025","TestAddProject","test_add_project","",""
"新增环境：环境名称不能为空","604","新增环境：环境名称不能为空","cases","Tue Sep 09 23:34:36 CST 2025","passed","Tue Sep 09 23:34:37 CST 2025","TestEnvList","test_env_list","",""
"新增环境：环境新增成功","948","新增环境：环境新增成功","cases","Tue Sep 09 23:34:50 CST 2025","passed","Tue Sep 09 23:34:51 CST 2025","TestEnvList","test_env_list","",""
"用户名有特殊字符","62","用户名有特殊字符","cases","Tue Sep 09 23:35:53 CST 2025","passed","Tue Sep 09 23:35:54 CST 2025","TestRegister","test_register","",""
"密码框不能为空","150","密码框不能为空","cases","Tue Sep 09 23:35:55 CST 2025","passed","Tue Sep 09 23:35:55 CST 2025","TestRegister","test_register","",""
"新增环境：环境地址必须以http:或 https:开头","989","新增环境：环境地址必须以http:或 https:开头","cases","Tue Sep 09 23:34:44 CST 2025","passed","Tue Sep 09 23:34:45 CST 2025","TestEnvList","test_env_list","",""
"新增环境：环境地址必须以http:或 https:开头","976","新增环境：环境地址必须以http:或 https:开头","cases","Tue Sep 09 23:36:21 CST 2025","passed","Tue Sep 09 23:36:22 CST 2025","TestEnvList","test_env_list","",""
"新增环境：环境名称已存在","962","新增环境：环境名称已存在","cases","Tue Sep 09 23:34:48 CST 2025","passed","Tue Sep 09 23:34:49 CST 2025","TestEnvList","test_env_list","",""
"已有账号？点这登录","180","已有账号？点这登录","cases","Tue Sep 09 23:35:59 CST 2025","passed","Tue Sep 09 23:35:59 CST 2025","TestRegister","test_register","",""
"新增环境：大于30个字符","587","新增环境：大于30个字符","cases","Tue Sep 09 23:34:38 CST 2025","passed","Tue Sep 09 23:34:39 CST 2025","TestEnvList","test_env_list","",""
"测试注册正常流程，已被注册过的账号","1010","测试注册正常流程，已被注册过的账号","cases","Tue Sep 09 23:36:00 CST 2025","passed","Tue Sep 09 23:36:01 CST 2025","TestRegister","test_register","",""
"用户名大于30字符","70","用户名大于30字符","cases","Tue Sep 09 23:35:52 CST 2025","passed","Tue Sep 09 23:35:52 CST 2025","TestRegister","test_register","",""
"项目列表搜索功能，点搜索按钮查询请求","140","项目列表搜索功能，点搜索按钮查询请求","cases","Tue Sep 09 23:35:20 CST 2025","passed","Tue Sep 09 23:35:21 CST 2025","TestProjectList","test_project_list","",""
"已有账号？点这登录 链接访问","169","已有账号？点这登录 链接访问","cases","Tue Sep 09 23:35:08 CST 2025","passed","Tue Sep 09 23:35:09 CST 2025","TestLogin","test_login","",""
"用户名为空，点注册","133","用户名为空，点注册","cases","Tue Sep 09 23:34:54 CST 2025","passed","Tue Sep 09 23:34:54 CST 2025","TestLogin","test_login","",""
"异常场景-项目名称，无效等价：特殊字符/大于30个字符","106","异常场景-项目名称，无效等价：特殊字符/大于30个字符","cases","Tue Sep 09 23:36:18 CST 2025","passed","Tue Sep 09 23:36:18 CST 2025","TestAddProject","test_add_project","",""
"用户名有特殊字符","54","用户名有特殊字符","cases","Tue Sep 09 23:34:57 CST 2025","passed","Tue Sep 09 23:34:57 CST 2025","TestLogin","test_login","",""
